id,commune,opening_hours
1,"Béjaïa","Non renseigné"
10,"Jijel","dimanche: 09:00–16:00"
100,"Batna","Non renseigné"
1000,"Belouizdad","dimanche: 08:30–17:30"
1001,"Annaba","dimanche: 08:00–20:00 | lundi: 08:00–20:00 | mardi: 08:00–20:00 | mercredi: 08:00–22:00 | jeudi: 08:00–20:00 | vendredi: 08:00–20:00 | samedi: 08:00–20:00"
1002,"Kouba","dimanche: 09:00–18:00"
1003,"Sétif","dimanche: 08:30–14:30"
1004,"Skikda","dimanche: 08:30–17:00"
1005,"Annaba","dimanche: 09:00–16:30"
1006,"Sétif","dimanche: 09:00–19:00"
1007,"Constantine","dimanche: 08:30–16:30"
1008,"Annaba","dimanche: 09:00–17:00"
101,"Aïn El Turk","dimanche: 09:00–18:00"
1010,"Sétif","dimanche: 08:00–17:00"
1012,"Guelma","Non renseigné"
1014,"Birkhadem","dimanche: 09:00–17:00"
1015,"Ben Aknoun","Non renseigné"
1016,"Annaba","Non renseigné"
1018,"Constantine","dimanche: 08:30–16:00"
1019,"Alger Centre","dimanche: 09:00–17:00"
102,"Mostaganem","dimanche: 09:00–12:0014:00–17:00"
1020,"Sétif","dimanche: 08:00–17:00"
1021,"Skikda","Non renseigné"
1022,"Alger Centre","dimanche: 09:00–16:30"
1023,"Constantine","dimanche: 08:00–20:00"
1025,"Kouba","dimanche: 08:30–18:00"
1026,"Constantine","dimanche: 08:30–16:30"
1027,"Bab El Oued","dimanche: 08:00–18:00"
1028,"18 eme Arrondissment،،","Non renseigné"
1029,"Sétif","dimanche: 09:30–17:00"
103,"Ouled Yaïch","dimanche: 08:00–16:00"
1030,"Setif","Non renseigné"
1031,"Sétif","dimanche: 08:00–22:00 | lundi: 08:00–22:00 | mardi: 08:00–22:00 | mercredi: 08:00–15:30 | jeudi: 08:00–19:00 | vendredi: 14:00–22:00 | samedi: 08:00–22:00"
1032,"Kouba","dimanche: Ouvert 24h/24"
1033,"Alger Centre","dimanche: 10:00–02:00"
1034,"Kouba","dimanche: 09:30–18:00"
1035,"Sétif","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 08:00–16:00"
1036,"Annaba","dimanche: 08:30–19:00"
1037,"Kouba","dimanche: 09:00–23:00"
1038,"Sidi MHamed","dimanche: Fermé"
1039,"Constantine","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: 09:00–17:00"
104,"Annaba","dimanche: 08:00–16:00"
1040,"Sétif","dimanche: 08:00–23:00"
1041,"Annaba","dimanche: 08:00–17:00"
1042,"Sétif","dimanche: 08:30–19:30"
1043,"El Harrouch","dimanche: 09:00–17:00"
1044,"Souk-Ahras","dimanche: 08:00–18:00"
1045,"Béjaïa","dimanche: 09:00–15:30"
1046,"Constantine","dimanche: 09:00–20:00"
1047,"App11","Non renseigné"
1048,"Constantine","dimanche: 09:00–17:00"
1049,"Sidi MHamed","dimanche: 09:00–20:30"
105,"Blida","Non renseigné"
1050,"Sétif","dimanche: 08:30–18:00 | lundi: 08:30–18:00 | mardi: 08:30–18:00 | mercredi: 08:30–18:00 | jeudi: 08:30–17:00 | vendredi: Fermé | samedi: 08:30–18:00"
1051,"Constantine","dimanche: 08:30–16:30"
1052,"Annaba","dimanche: Ouvert 24h/24"
1053,"Sétif","Non renseigné"
1054,"Alger Centre","dimanche: 09:00–17:30"
1055,"Sétif","dimanche: 08:30–17:00"
1056,"Constantine","dimanche: 08:00–15:00"
1057,"Bir Mourad Raïs","dimanche: Ouvert 24h/24"
1058,"Draria","dimanche: Ouvert 24h/24"
1059,"Sétif","dimanche: 08:00–17:00"
1060,"Setif","dimanche: 10:00–18:30"
1061,"El Khroub","dimanche: 08:00–16:30 | lundi: 08:00–16:30 | mardi: 08:00–16:30 | mercredi: 08:00–16:30 | jeudi: 08:00–12:00 | vendredi: Fermé | samedi: 08:00–16:30"
1062,"Bab Ezzouar","dimanche: 09:00–17:00"
1063,"Alger Centre","dimanche: 09:00–18:00"
1064,"Alger Centre","Non renseigné"
1065,"Kouba","dimanche: 08:30–20:00"
1066,"Mostaganem","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–12:30 | vendredi: Fermé | samedi: 08:00–16:00"
1067,"Sidi MHamed","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: 09:00–17:00"
1068,"Sidi MHamed","dimanche: 09:00–20:00"
1069,"El Khroub","dimanche: 08:30–17:00"
107,"Blida","dimanche: 09:00–19:00"
1070,"Annaba","dimanche: Ouvert 24h/24"
1071,"Annaba","Non renseigné"
1072,"Sétif","dimanche: 08:00–17:00"
1073,"Souk-Ahras","dimanche: 08:00–17:00"
1074,"Constantine","Non renseigné"
1075,"Skikda","dimanche: 09:00–17:00"
1076,"Annaba","dimanche: 08:30–17:00 | lundi: 08:30–17:00 | mardi: 08:30–17:00 | mercredi: 08:30–17:00 | jeudi: 08:30–17:00 | vendredi: Fermé | samedi: 08:30–17:00"
1078,"Sétif","dimanche: 09:00–00:00"
1079,"Tiaret","dimanche: 08:30–16:30"
108,"Boulevard des lions en face la résidence el hasnaoui","dimanche: 09:00–17:00"
1080,"","dimanche: 09:00–16:00"
1081,"Cité","dimanche: Ouvert 24h/24"
1082,"Annaba","dimanche: 09:00–18:00"
1083,"Annaba","dimanche: 08:30–16:30"
1084,"Setif","Non renseigné"
1085,"Uv 05 extension projet 32 bt b02c n15","dimanche: 09:00–21:00"
1086,"Annaba","dimanche: 08:00–17:00"
1087,"Guelma","dimanche: 08:00–17:00"
1088,"Bab El Oued","dimanche: 08:30–17:00 | lundi: 08:30–17:00 | mardi: 08:30–17:00 | mercredi: 08:30–17:00 | jeudi: 08:30–12:00 | vendredi: Fermé | samedi: 08:30–17:00"
1089,"Annaba","dimanche: 09:00–16:00"
109,"Ouargla","Non renseigné"
1090,"Souk-Ahras","dimanche: 09:00–17:00"
1091,"El Khroub","Non renseigné"
1092,"Ben Aknoun","dimanche: Ouvert 24h/24"
1094,"El Khroub","dimanche: 08:00–16:30"
1096,"Bab Ezzouar","dimanche: 09:00–17:00"
1097,"Constantine","dimanche: 09:00–17:00"
1098,"uv5","dimanche: 09:00–17:00"
1099,"cité 150logement bloc 8 N 03","dimanche: 08:00–19:00"
11,"Tazoult","dimanche: 08:30–16:30"
110,"Belouizdad","dimanche: 08:00–15:30"
1100,"Guelma","dimanche: 08:00–18:00"
1101,"Guelma","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: 08:00–14:00 | vendredi: Fermé | samedi: 08:00–17:00"
1102,"Guelma","dimanche: 08:30–16:00"
1103,"Annaba","dimanche: Ouvert 24h/24"
1104,"Annaba","Non renseigné"
1106,"El Biar","dimanche: 09:00–17:30"
1107,"Annaba","dimanche: 08:00–18:00"
1108,"Sétif","dimanche: 08:00–21:00"
1109,"Chéraga","dimanche: 08:30–19:00"
111,"Bir El Djir","Non renseigné"
1110,"lagar","dimanche: 08:30–17:00"
1111,"Sétif","dimanche: 09:30–15:00"
1112,"El Bouni","dimanche: 08:00–17:30"
1113,"Skikda","dimanche: Ouvert 24h/24"
1114,"Kouba","dimanche: 09:00–19:00"
1115,"Skikda","dimanche: 08:00–14:30"
1116,"Annaba","dimanche: Ouvert 24h/24"
1118,"Annaba","dimanche: 09:00–16:00"
1119,"Annaba","Non renseigné"
112,"El Biar","dimanche: 07:00–18:00"
1120,"Souk-Ahras","Non renseigné"
1121,"Setif","dimanche: 08:00–17:00"
1122,"Sétif","dimanche: 08:00–22:00"
1123,"Setif","Non renseigné"
1124,"Guelma","dimanche: 09:00–16:00"
1125,"Sétif","dimanche: 08:00–20:00"
1126,"Souk-Ahras","dimanche: 08:30–17:30"
1127,"Guelma","dimanche: 09:00–17:00"
1128,"Constantine","dimanche: 08:00–17:00"
1129,"Bir Mourad Raïs","dimanche: 09:00–23:00"
113,"1 log1","dimanche: 09:00–16:16"
1130,"Dely Ibrahim","dimanche: 09:00–21:30"
1131,"Sétif","dimanche: 08:00–20:00"
